setid,"MolaLity of N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NFjKO,0.0276,303.15,100,775.647,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0276,308.15,100,770.192,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0276,313.15,100,764.703,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0276,318.15,100,759.178,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.038,298.15,100,782.759,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.038,303.15,100,777.331,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.038,308.15,100,771.873,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.038,313.15,100,766.385,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.038,318.15,100,760.862,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0523,298.15,100,785.036,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0523,303.15,100,779.607,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0523,308.15,100,774.153,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0523,313.15,100,768.667,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0523,318.15,100,763.147,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0674,298.15,100,787.436,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0674,303.15,100,781.999,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0674,308.15,100,776.549,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0674,313.15,100,771.064,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0674,318.15,100,765.551,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0864,298.15,100,790.427,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0864,303.15,100,784.994,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0864,308.15,100,779.543,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0864,313.15,100,774.057,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0864,318.15,100,768.552,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1101,298.15,100,794.115,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1101,303.15,100,788.679,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1101,308.15,100,783.226,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1101,313.15,100,777.74,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1101,318.15,100,772.235,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.13,298.15,100,797.144,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.13,303.15,100,791.717,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.13,308.15,100,786.253,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.13,313.15,100,780.771,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.13,318.15,100,775.257,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1623,298.15,100,802.019,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1623,303.15,100,796.577,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1623,308.15,100,791.135,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1623,313.15,100,785.644,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.1623,318.15,100,780.136,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
