setid,"MolaLity of N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WRPSO,0.0686,313.15,100,771.442,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0686,318.15,100,765.945,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0869,298.15,100,790.74,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0869,303.15,100,785.318,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0869,308.15,100,779.877,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0869,313.15,100,774.373,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0869,318.15,100,768.855,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1078,298.15,100,794.037,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1078,303.15,100,788.611,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1078,308.15,100,783.146,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1078,313.15,100,777.657,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1078,318.15,100,772.158,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1316,298.15,100,797.714,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1316,303.15,100,792.286,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1316,308.15,100,786.836,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1316,313.15,100,781.334,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1316,318.15,100,775.832,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1634,298.15,100,802.54,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1634,303.15,100,797.108,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1634,308.15,100,791.661,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1634,313.15,100,786.155,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.1634,318.15,100,780.648,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
