setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of hexan-1-ol, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DiAGK,0.2399,101,298,0.02,3.147,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.2674,101,298,0.02,3.47,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.2754,101,298,0.02,3.535,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.2843,101,298,0.02,3.675,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.316,101,298,0.02,4.023,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.3242,101,298,0.02,4.134,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.3471,101,298,0.02,4.407,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.3688,101,298,0.02,4.659,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.3744,101,298,0.02,4.718,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.4289,101,298,0.02,5.329,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.4577,101,298,0.02,5.655,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.5463,101,298,0.02,6.609,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.6496,101,298,0.02,7.692,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.6885,101,298,0.02,8.059,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.7688,101,298,0.02,8.842,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.8027,101,298,0.02,9.167,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
