setid,"Temperature, K","MolaRity of tetrapropylammonium bromide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HRCaP,313.15,0.05021,101,918.76,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,313.15,0.06025,101,919.75,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,318.15,0.01,101,910.99,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,318.15,0.02,101,911.98,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,318.15,0.03,101,912.98,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,318.15,0.04,101,913.99,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,318.15,0.05,101,915.01,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,318.15,0.06,101,916.04,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,323.15,0.00996,101,907.05,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,323.15,0.01991,101,908.05,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,323.15,0.02987,101,909.07,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,323.15,0.03983,101,910.09,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,323.15,0.0498,101,911.12,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,323.15,0.05975,101,912.13,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
