setid,"Temperature, K","Pressure, kPa","MolaLity of hydrogen sulfide, mol/kg","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kgARE,313.15,392.6,1.0168,0.0001836,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,313.15,605,1.6336,0.0001669,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,313.15,813.7,2.2949,0.0001529,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,313.15,1021.5,3.03,0.0001406,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,313.15,1244.6,3.892,0.0001294,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,313.15,1455.3,4.807,0.00012,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,313.15,1592.1,5.49,0.0001142,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,323.15,188,0.378,0.000208,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,323.15,418.4,0.874,0.0001897,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,323.15,647.6,1.4085,0.0001741,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,323.15,1041.4,2.4199,0.0001522,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,323.15,1294,3.138,0.0001407,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,323.15,1501.2,3.819,0.0001319,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,323.15,1614.4,4.192,0.0001272,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,333.15,196.6,0.326,0.0002118,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,333.15,459.2,0.78,0.0001944,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,333.15,705.7,1.2372,0.0001803,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,333.15,907.8,1.6345,0.00017,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,333.15,1176.8,2.188,0.0001581,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,333.15,1400.8,2.685,0.0001492,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,333.15,1570.7,3.114,0.0001426,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,343.15,207.6,0.279,0.0002154,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,343.15,456.9,0.64,0.000201,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,343.15,706.7,1.0211,0.0001882,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,343.15,923.5,1.3695,0.0001783,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,343.15,1176.5,1.7976,0.0001679,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,343.15,1391.1,2.179,0.0001599,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,343.15,1632,2.646,0.0001515,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
