setid,"Temperature, K",Mole fraction of butylammonium formate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RuWFr,313.15,0.1038,92.3,816.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.1507,92.3,832.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.2004,92.3,847.1,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.2564,92.3,861.6,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.2938,92.3,870.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.355,92.3,883.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.3886,92.3,890,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.4521,92.3,901.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.5005,92.3,908.8,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.5487,92.3,915.9,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.5982,92.3,922.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.6393,92.3,927.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.6993,92.3,934.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.749,92.3,940.1,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.7972,92.3,944.9,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.8487,92.3,949.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.8993,92.3,954.1,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.9444,92.3,957.8,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,1,92.3,962.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
