setid,"Mole fraction of N,N-diethylethanolammonium hydrogen dipropanoate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ICnbL,0.1549,308.15,101,1117,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,313.15,101,1113.3,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,318.15,101,1109.7,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,323.15,101,1106.1,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,328.15,101,1102.5,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,333.15,101,1099.4,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,338.15,101,1095.6,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,343.15,101,1092.1,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,348.15,101,1088.6,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,353.15,101,1085.2,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
