setid,Mole fraction of 1-allyl-3-methylimidazolium dicyanamide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nmnlb,0.2,298.15,100,1032.8,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.2,303.15,100,1028.8,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.2,308.15,100,1024.9,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.2,313.15,100,1020.9,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.2,318.15,100,1016.9,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.3002,288.15,100,1100.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.3002,293.15,100,1096.8,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.3002,298.15,100,1093,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.3002,303.15,100,1089.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.3002,308.15,100,1085.4,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.3002,313.15,100,1081.6,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.3002,318.15,100,1077.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.4001,288.15,100,1141.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.4001,293.15,100,1137.9,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.4001,298.15,100,1134.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.4001,303.15,100,1130.4,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.4001,308.15,100,1126.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.4001,313.15,100,1123,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.4001,318.15,100,1119.3,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.5001,288.15,100,1169.4,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.5001,293.15,100,1165.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.5001,298.15,100,1162,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.5001,303.15,100,1158.3,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.5001,308.15,100,1154.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.5001,313.15,100,1151.1,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.5001,318.15,100,1147.4,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6001,288.15,100,1197.3,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6001,293.15,100,1193.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6001,298.15,100,1190,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6001,303.15,100,1186.4,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6001,308.15,100,1182.8,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6001,313.15,100,1179.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6001,318.15,100,1175.6,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6998,288.15,100,1217.1,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6998,293.15,100,1213.5,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6998,298.15,100,1209.9,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6998,303.15,100,1206.3,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6998,308.15,100,1202.8,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6998,313.15,100,1199.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.6998,318.15,100,1195.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.7998,288.15,100,1235,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.7998,293.15,100,1231.4,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.7998,298.15,100,1227.8,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.7998,303.15,100,1224.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.7998,308.15,100,1220.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.7998,313.15,100,1217.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.7998,318.15,100,1213.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.9007,288.15,100,1248.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.9007,293.15,100,1245.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.9007,298.15,100,1241.6,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.9007,303.15,100,1238.1,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.9007,308.15,100,1234.6,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.9007,313.15,100,1231.1,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,0.9007,318.15,100,1227.6,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,1,288.15,100,1261.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,1,293.15,100,1258.2,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,1,298.15,100,1254.6,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,1,303.15,100,1251.1,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,1,308.15,100,1247.6,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,1,313.15,100,1244.1,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
nmnlb,1,318.15,100,1240.7,Wei et al. (2022a),Density,Liquid,AAkUkb,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,1-allyl-3-methylimidazolium dicyanamide,AAGIBL,CO,methanol,,,
