setid,"Temperature, K",Mole fraction of 3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PJfeG,308.15,0.30128,101,1215.04,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.40123,101,1227.32,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.49597,101,1235.04,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.60165,101,1241.24,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.70071,101,1245.51,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.85508,101,1250.5,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,0.90059,101,1251.8,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,308.15,1,101,1254.4,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0,101,990.22,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.04992,101,1096.1,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.1001,101,1142.14,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.14982,101,1168.57,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.19984,101,1185.67,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.30128,101,1206.74,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.40123,101,1219.13,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.49597,101,1226.96,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.60165,101,1233.26,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.70071,101,1237.61,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.85508,101,1242.7,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,0.90059,101,1244,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,318.15,1,101,1246.7,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,328.15,0,101,985.7,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,328.15,0.04992,101,1088.96,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,328.15,0.1001,101,1134.15,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
