setid,"Temperature, K","MolaLity of ethylhexadecyldimethylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
COBEq,308.15,0.0002,101,992.55,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,308.15,0.0005,101,992.58,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,308.15,0.0008,101,992.61,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,308.15,0.0012,101,992.63,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,308.15,0.0016,101,992.65,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,308.15,0.002,101,992.66,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,308.15,0.0025,101,992.67,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,308.15,0.003,101,992.69,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,313.15,0.0002,101,990.61,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,313.15,0.0005,101,990.63,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,313.15,0.0008,101,990.67,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,313.15,0.0012,101,990.68,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,313.15,0.0016,101,990.69,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,313.15,0.002,101,990.7,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,313.15,0.0025,101,990.72,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,313.15,0.003,101,990.73,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,318.15,0.0002,101,988.67,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,318.15,0.0005,101,988.68,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,318.15,0.0008,101,988.7,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,318.15,0.0012,101,988.73,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,318.15,0.0016,101,988.74,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,318.15,0.002,101,988.75,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,318.15,0.0025,101,988.76,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,318.15,0.003,101,988.78,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,323.15,0.0002,101,986.71,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,323.15,0.0005,101,986.72,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,323.15,0.0008,101,986.74,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,323.15,0.0012,101,986.76,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,323.15,0.0016,101,986.78,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,323.15,0.002,101,986.79,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,323.15,0.0025,101,986.8,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
COBEq,323.15,0.003,101,986.81,Sheikh and Bhat (2012),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water,,,
