setid,"Temperature, K","MolaLity of D-glucose, mol/kg","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xeYAc,288.15,0.0797,0.496,101,1027.15,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.0799,0.3975,101,1022.89,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.0807,0.2937,101,1018.37,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.0819,0.199,101,1014.1,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.0888,0.2937,101,1018.91,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.0897,0.199,101,1014.62,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.0898,0.3975,101,1023.55,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.0905,0.496,101,1027.89,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.0997,0.199,101,1015.29,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.1,0.2937,101,1019.66,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.1006,0.3975,101,1024.28,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,288.15,0.1014,0.496,101,1028.61,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,289.15,0,0.2937,101,1010.41,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,289.15,0.0299,0.2937,101,1012.4,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,289.15,0.0396,0.2937,101,1013.06,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,289.15,0.0498,0.2937,101,1013.74,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,289.15,0.06,0.2937,101,1014.42,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,289.15,0.0708,0.2937,101,1015.14,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,289.15,0.0807,0.2937,101,1015.81,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,289.15,0.0888,0.2937,101,1016.35,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,289.15,0.1,0.2937,101,1017.1,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0,0.199,101,1006.19,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0,0.3975,101,1014.94,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0,0.496,101,1019.01,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0294,0.199,101,1008.17,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0299,0.3975,101,1016.91,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0301,0.496,101,1020.98,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.04,0.199,101,1008.89,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0401,0.3975,101,1017.58,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0408,0.496,101,1021.69,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.05,0.199,101,1009.56,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0501,0.496,101,1022.3,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0506,0.3975,101,1018.28,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0599,0.3975,101,1018.9,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0605,0.496,101,1022.99,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0608,0.199,101,1010.3,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0695,0.3975,101,1019.54,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0699,0.496,101,1023.62,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0712,0.199,101,1011,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0797,0.496,101,1024.27,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0799,0.3975,101,1020.23,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0819,0.199,101,1011.72,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0897,0.199,101,1012.25,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
xeYAc,298.15,0.0898,0.3975,101,1020.89,Shekaari et al. (2012a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
