setid,"Temperature, K",Mole fraction of choline cyclopentane carboxylate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lMFpG,303.15,0.9001,101,1077.6,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,303.15,1,101,1086.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0,101,776.961,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0.1,101,872.62,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0.2,101,931.034,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0.3,101,970.744,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0.3999,101,999.781,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0.5001,101,1022.1,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0.5992,101,1039,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0.7,101,1053.2,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0.7986,101,1064.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,0.9001,101,1074.7,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,308.15,1,101,1083.9,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0,101,772.569,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0.1,101,868.882,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0.2,101,927.61,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0.3,101,967.493,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0.3999,101,996.653,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0.5001,101,1019.06,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0.5992,101,1036.07,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0.7,101,1050.2,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0.7986,101,1061.9,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,0.9001,101,1071.8,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,313.15,1,101,1081.1,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0,101,768.129,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0.1,101,865.346,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0.2,101,924.175,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0.3,101,964.241,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0.3999,101,993.519,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0.5001,101,1016.02,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0.5992,101,1033.12,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0.7,101,1047.3,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0.7986,101,1059,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,0.9001,101,1068.9,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,318.15,1,101,1078.2,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0,101,763.643,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0.1,101,861.675,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0.2,101,920.729,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0.3,101,961.028,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0.3999,101,990.377,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0.5001,101,1012.96,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0.5992,101,1030.17,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0.7,101,1044.3,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0.7986,101,1056,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,0.9001,101,1066.1,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
lMFpG,323.15,1,101,1075.4,Zhou et al. (2010b),Density,Liquid,AAIsrh,CCO,ethanol,AAppNn,C[N+](C)(C)CCO.O=C([O-])C1CCCC1,choline cyclopentane carboxylate,,,
