setid,"Temperature, K","MolaLity of N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sKnvy,303.15,0.24633,101,1005.43,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0.30295,101,1007.56,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,303.15,0.38242,101,1010.48,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0,101,994.031,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.02378,101,995.011,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.04843,101,996.015,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.06372,101,996.63,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.09999,101,998.075,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.11928,101,998.836,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.15525,101,1000.24,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.19994,101,1001.95,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.24633,101,1003.7,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.30295,101,1005.8,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,308.15,0.38242,101,1008.68,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0,101,992.216,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.02378,101,993.186,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.04843,101,994.178,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.06372,101,994.788,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.09999,101,996.217,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.11928,101,996.971,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.15525,101,998.354,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.19994,101,1000.05,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.24633,101,1001.78,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.30295,101,1003.85,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
sKnvy,313.15,0.38242,101,1006.69,Warminska and Smiechowski (2022),Density,Liquid,AAyDCy,CC(=O)N[C@@H](C)C(=O)[O-].CC[N+]1(C)CCOCC1,N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
