setid,"Mole fraction of 1,2-propanediol","Temperature, K","Pressure, kPa","Moles per mass of solution: 1-butyl-3-methylimidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lDbMQ,0.521,298.15,101,0.1,1044.8,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.5672,298.15,101,0.1,1044.1,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.611,298.15,101,0.1,1043.4,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.652,298.15,101,0.1,1042.8,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.69,298.15,101,0.1,1042.2,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.725,298.15,101,0.1,1041.7,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.7569,298.15,101,0.1,1041.2,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.7857,298.15,101,0.1,1040.7,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.8116,298.15,101,0.1,1040.4,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.8348,298.15,101,0.1,1040.1,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.8553,298.15,101,0.1,1039.8,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.8734,298.15,101,0.1,1039.5,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.8894,298.15,101,0.1,1039.3,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.9033,298.15,101,0.1,1039,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.9155,298.15,101,0.1,1038.8,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
lDbMQ,0.9262,298.15,101,0.1,1038.7,Checoni (2010),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
