setid,"Solvent: MolaLity of 1-methyl-3-pentylimidazolium chloride, mol/kg","Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IAhbM,0.01,308.15,0.4951,101,1009.5,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,308.15,0.6983,101,1015.4,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,308.15,0.8896,101,1020.9,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.01,308.15,1.0005,101,1024,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,288.15,0,101,1000.6,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,288.15,0.1001,101,1003.9,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,288.15,0.2998,101,1010.2,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,288.15,0.5001,101,1016.4,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,288.15,0.7023,101,1022.4,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,288.15,0.9007,101,1028.1,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,288.15,0.995,101,1030.8,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,298.15,0,101,998.5,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,298.15,0.1001,101,1001.7,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,298.15,0.2998,101,1007.9,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,298.15,0.5001,101,1013.9,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,298.15,0.7023,101,1019.8,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,298.15,0.9007,101,1025.5,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,298.15,0.995,101,1028,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,308.15,0,101,995.5,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,308.15,0.1001,101,998.6,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,308.15,0.2998,101,1004.7,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,308.15,0.5001,101,1010.7,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,308.15,0.7023,101,1016.4,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,308.15,0.9007,101,1022,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
IAhbM,0.03,308.15,0.995,101,1024.5,Gaba et al. (2017c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
