setid,"Temperature, K","MolaLity of choline butanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ybFGD,298.15,0.0969,101,998.5,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,0.2061,101,1000.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,0.3247,101,1001.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,0.3919,101,1002.8,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,0.5136,101,1004.5,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,0.5577,101,1005.3,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,0.6881,101,1007.1,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,0.7908,101,1008.5,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,0.8425,101,1009.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,0.9787,101,1010.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,1.0886,101,1012.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,298.15,1.1453,101,1012.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.0969,101,997.1,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.2061,101,998.7,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.3247,101,1000.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.3919,101,1001.3,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.5136,101,1003,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.5577,101,1003.7,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.6881,101,1005.5,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.7908,101,1006.8,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.8425,101,1007.5,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,0.9787,101,1009.1,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,1.0886,101,1010.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,303.15,1.1453,101,1011,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.0969,101,995.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.2061,101,997,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.3247,101,998.7,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.3919,101,999.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.5136,101,1001.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.5577,101,1001.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.6881,101,1003.5,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.7908,101,1004.8,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.8425,101,1005.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,0.9787,101,1007.1,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,1.0886,101,1008.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,308.15,1.1453,101,1009,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.0969,101,993.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.2061,101,995.1,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.3247,101,996.8,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.3919,101,997.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.5136,101,999.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.5577,101,999.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.6881,101,1001.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.7908,101,1002.7,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.8425,101,1003.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,0.9787,101,1005,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,1.0886,101,1006.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,313.15,1.1453,101,1006.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.0969,101,991.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.2061,101,993.1,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.3247,101,994.7,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.3919,101,995.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.5136,101,997.1,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.5577,101,997.8,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.6881,101,999.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.7908,101,1000.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.8425,101,1001.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,0.9787,101,1002.7,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,1.0886,101,1004,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,318.15,1.1453,101,1004.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.0969,101,989.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.2061,101,990.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.3247,101,992.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.3919,101,993.3,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.5136,101,994.8,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.5577,101,995.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.6881,101,997,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.7908,101,998.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.8425,101,998.8,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,0.9787,101,1000.3,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,1.0886,101,1001.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,323.15,1.1453,101,1002.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.0969,101,987,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.2061,101,988.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.3247,101,990,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.3919,101,990.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.5136,101,992.4,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.5577,101,992.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.6881,101,994.5,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.7908,101,995.7,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.8425,101,996.3,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,0.9787,101,997.8,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,1.0886,101,999,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,328.15,1.1453,101,999.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.0969,101,984.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.2061,101,985.5,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.3247,101,986.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.3919,101,987.7,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.5136,101,989.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.5577,101,989.6,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.6881,101,991.1,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.7908,101,992.2,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.8425,101,992.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,0.9787,101,994.3,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,1.0886,101,995.3,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
ybFGD,333.15,1.1453,101,995.9,Panda et al. (2018),Density,Liquid,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,AADYJk,O,water,,,
