setid,"MolaLity of N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kOQTS,0.0252,298.15,100,780.834,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0252,303.15,100,775.414,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0252,308.15,100,769.962,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0252,313.15,100,764.479,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0252,318.15,100,758.957,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0372,298.15,100,782.84,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0372,303.15,100,777.423,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0372,308.15,100,771.972,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0372,313.15,100,766.49,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0372,318.15,100,760.974,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0506,298.15,100,785.053,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0506,303.15,100,779.637,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0506,308.15,100,774.191,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0506,313.15,100,768.712,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0506,318.15,100,763.2,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0656,298.15,100,787.516,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0656,303.15,100,782.098,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0656,308.15,100,776.655,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0656,313.15,100,771.18,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0656,318.15,100,765.666,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0868,298.15,100,790.942,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0868,303.15,100,785.532,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0868,308.15,100,780.089,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0868,313.15,100,774.615,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.0868,318.15,100,769.109,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1038,298.15,100,793.66,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1038,303.15,100,788.255,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1038,308.15,100,782.815,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1038,313.15,100,777.346,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1038,318.15,100,771.842,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1292,298.15,100,797.655,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1292,303.15,100,792.26,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1292,308.15,100,786.817,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1292,313.15,100,781.35,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1292,318.15,100,775.861,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1576,298.15,100,802.048,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1576,303.15,100,796.655,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1576,308.15,100,791.206,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1576,313.15,100,785.752,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
kOQTS,0.1576,318.15,100,780.271,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
