setid,"Temperature, K",Weight fraction of 1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RBnAL,298.15,0.7598,101,1391.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.7789,101,1402.3,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.8018,101,1415.6,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.8189,101,1425.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.8585,101,1448.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.8805,101,1461.3,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.9007,101,1473,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.92,101,1484.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.9395,101,1495.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.9592,101,1507,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,0.9825,101,1520.6,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,298.15,1,101,1541.3,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.3015,101,1119.7,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.3416,101,1142.7,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.38,101,1164.8,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.3988,101,1175.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.4189,101,1187,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.4591,101,1210.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.4793,101,1221.7,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.4997,101,1233.3,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.5405,101,1256.7,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.5611,101,1268.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.5811,101,1280,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.5997,101,1290.6,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.6415,101,1314.6,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.6592,101,1324.7,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.6789,101,1336,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.7,101,1348.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.7217,101,1360.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.7598,101,1382.4,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.7789,101,1393.3,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.8018,101,1406.4,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.8189,101,1416.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.8585,101,1438.9,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.8805,101,1451.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.9007,101,1463.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.92,101,1474.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.9395,101,1485.3,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.9592,101,1496.6,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,0.9825,101,1510,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,308.15,1,101,1531.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.3015,101,1114,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.3416,101,1136.7,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.38,101,1158.4,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.3988,101,1169,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.4189,101,1180.4,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.4591,101,1203.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.4793,101,1214.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.4997,101,1226,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.5405,101,1249.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.5611,101,1260.7,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.5811,101,1272,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.5997,101,1282.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.6415,101,1306.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.6592,101,1316.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.6789,101,1327.3,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.7,101,1339.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.7217,101,1351.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.7598,101,1373,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.7789,101,1383.8,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.8018,101,1396.7,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.8189,101,1406.4,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.8585,101,1428.8,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.8805,101,1441.2,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.9007,101,1452.6,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.92,101,1463.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.9395,101,1474.5,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.9592,101,1485.7,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,0.9825,101,1498.8,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
RBnAL,318.15,1,101,1521.1,Ferreira et al. (2020),Density,Liquid,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,AADYJk,O,water,,,
