setid,"Temperature, K","MolaLity of N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HzKTc,313.15,0,100,922.414,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.0107,100,923.864,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.0156,100,924.522,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.0238,100,925.615,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.0366,100,927.303,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.0514,100,929.23,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.0685,100,931.424,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.0838,100,933.349,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.1081,100,936.388,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.1302,100,939.099,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,313.15,0.1661,100,943.373,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0,100,917.782,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.0107,100,919.236,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.0156,100,919.897,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.0238,100,920.992,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.0366,100,922.69,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.0514,100,924.611,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.0685,100,926.81,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.0838,100,928.748,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.1081,100,931.782,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.1302,100,934.49,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
HzKTc,318.15,0.1661,100,938.77,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
