setid,"Temperature, K","Pressure, kPa","MolaLity of carbon dioxide, mol/kg","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bCVTR,323.15,1980,1.008,0.0001338,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,333.15,89.8,0.037,0.0001566,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,333.15,162.6,0.067,0.0001558,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,333.15,475.1,0.202,0.0001523,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,333.15,866.2,0.382,0.0001479,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,333.15,1195.4,0.511,0.000145,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,333.15,1598.3,0.703,0.0001408,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,333.15,1853.5,0.838,0.000138,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,343.15,94.2,0.034,0.0001578,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,343.15,173.3,0.062,0.000157,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,343.15,368.6,0.136,0.0001551,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,343.15,804.6,0.298,0.000151,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,343.15,1165,0.449,0.0001474,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,343.15,1462.8,0.574,0.0001446,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,343.15,1915.9,0.767,0.0001404,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,353.15,107.9,0.033,0.0001589,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,353.15,153.9,0.048,0.0001585,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,353.15,366.2,0.114,0.0001567,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,353.15,708.5,0.228,0.0001538,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,353.15,1041.7,0.334,0.0001512,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,353.15,1475.3,0.494,0.0001474,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
bCVTR,353.15,1700.1,0.577,0.0001455,Jalili et al. (2019),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
