setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethanaminium L-alaninate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MUXmM,293.15,1,100,1128.2,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0,100,800.1,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0.0997,100,871.6,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0.2007,100,926.1,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0.2998,100,969.2,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0.3915,100,1002.3,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0.506,100,1036.1,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0.6047,100,1059,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0.6939,100,1076.8,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0.7915,100,1094.8,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,0.9049,100,1111.9,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,298.15,1,100,1125.2,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0,100,796,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0.0997,100,867.9,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0.2007,100,922.6,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0.2998,100,965.8,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0.3915,100,999,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0.506,100,1033,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0.6047,100,1056,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0.6939,100,1073.8,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0.7915,100,1091.8,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,0.9049,100,1109,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
MUXmM,303.15,1,100,1122.3,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AALcLI,CCCO,propan-1-ol,,,
