setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapropylammonium acetate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sOToy,293.15,0.0011,100,0.01,998.7,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0012,100,0.01,998.707,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0013,100,0.01,998.712,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0014,100,0.01,998.719,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,293.15,0.0015,100,0.01,998.724,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0001,100,0.01,997.563,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0002,100,0.01,997.569,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0003,100,0.01,997.574,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0004,100,0.01,997.578,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0005,100,0.01,997.582,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0006,100,0.01,997.586,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0007,100,0.01,997.59,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0008,100,0.01,997.594,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0009,100,0.01,997.598,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.001,100,0.01,997.602,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0011,100,0.01,997.61,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0012,100,0.01,997.615,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0013,100,0.01,997.621,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0014,100,0.01,997.627,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,298.15,0.0015,100,0.01,997.635,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0001,100,0.01,996.051,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0002,100,0.01,996.057,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0003,100,0.01,996.064,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0004,100,0.01,996.07,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0005,100,0.01,996.076,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0006,100,0.01,996.08,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0007,100,0.01,996.084,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0008,100,0.01,996.088,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0009,100,0.01,996.093,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.001,100,0.01,996.097,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0011,100,0.01,996.105,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0012,100,0.01,996.111,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0013,100,0.01,996.117,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0014,100,0.01,996.123,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,303.15,0.0015,100,0.01,996.131,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0001,100,0.01,994.476,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0002,100,0.01,994.483,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0003,100,0.01,994.488,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0004,100,0.01,994.494,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0005,100,0.01,994.499,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0006,100,0.01,994.502,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0007,100,0.01,994.507,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0008,100,0.01,994.511,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0009,100,0.01,994.515,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.001,100,0.01,994.519,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0011,100,0.01,994.524,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0012,100,0.01,994.529,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0013,100,0.01,994.534,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0014,100,0.01,994.54,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,308.15,0.0015,100,0.01,994.544,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0001,100,0.01,992.653,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0002,100,0.01,992.659,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0003,100,0.01,992.663,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0004,100,0.01,992.668,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0005,100,0.01,992.674,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0006,100,0.01,992.679,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0007,100,0.01,992.683,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0008,100,0.01,992.687,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0009,100,0.01,992.693,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.001,100,0.01,992.698,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0011,100,0.01,992.704,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0012,100,0.01,992.71,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0013,100,0.01,992.716,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0014,100,0.01,992.723,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,313.15,0.0015,100,0.01,992.728,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0001,100,0.01,990.546,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0002,100,0.01,990.55,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0003,100,0.01,990.554,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0004,100,0.01,990.559,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0005,100,0.01,990.564,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0006,100,0.01,990.568,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0007,100,0.01,990.573,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0008,100,0.01,990.577,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0009,100,0.01,990.583,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.001,100,0.01,990.588,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0011,100,0.01,990.593,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
sOToy,318.15,0.0012,100,0.01,990.598,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
