setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapentylammonium acetate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tEXfG,298.15,0.012,100,0.01,997.581,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0.015,100,0.01,997.632,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0.018,100,0.01,997.674,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0.021,100,0.01,997.709,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0.024,100,0.01,997.758,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0.027,100,0.01,997.784,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,298.15,0.03,100,0.01,997.831,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0,100,0.01,995.914,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.003,100,0.01,995.984,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.006,100,0.01,996.042,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.009,100,0.01,996.095,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.012,100,0.01,996.155,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.015,100,0.01,996.184,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.018,100,0.01,996.242,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.021,100,0.01,996.278,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.024,100,0.01,996.323,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.027,100,0.01,996.345,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,303.15,0.03,100,0.01,996.394,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0,100,0.01,994.263,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.003,100,0.01,994.352,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.006,100,0.01,994.411,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.009,100,0.01,994.46,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.012,100,0.01,994.513,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.015,100,0.01,994.56,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.018,100,0.01,994.59,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.021,100,0.01,994.624,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.024,100,0.01,994.669,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.027,100,0.01,994.691,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,308.15,0.03,100,0.01,994.737,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0,100,0.01,992.414,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.003,100,0.01,992.519,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.006,100,0.01,992.596,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.009,100,0.01,992.618,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.012,100,0.01,992.669,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.015,100,0.01,992.712,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.018,100,0.01,992.742,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.021,100,0.01,992.777,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.024,100,0.01,992.817,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.027,100,0.01,992.831,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,313.15,0.03,100,0.01,992.88,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0,100,0.01,990.404,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.003,100,0.01,990.496,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.006,100,0.01,990.534,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.009,100,0.01,990.593,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.012,100,0.01,990.638,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.015,100,0.01,990.68,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.018,100,0.01,990.712,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.021,100,0.01,990.743,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.024,100,0.01,990.781,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.027,100,0.01,990.796,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tEXfG,318.15,0.03,100,0.01,990.839,Kaur and Chauhan (2020),Density,Liquid,ABQoBW,CC(=O)[O-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,tetrapentylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
