setid,"Temperature, K","MolaLity of sodium benzoate, mol/kg","Solvent: MolaLity of 1-ethyl-3-methylimidazolium ethyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EAnge,293.15,0.05,0,101.3,1001.44,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0501,0.1501,101.3,1008.77,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0501,0.1999,101.3,1010.93,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0502,0.0998,101.3,1006.53,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0698,0.1999,101.3,1011.89,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0699,0,101.3,1002.66,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0699,0.1501,101.3,1009.8,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.07,0.0998,101.3,1007.65,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0898,0.0998,101.3,1008.74,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.09,0,101.3,1003.84,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.09,0.1999,101.3,1012.84,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
