setid,"Temperature, K","MolaLity of sodium benzoate, mol/kg","Solvent: MolaLity of 1-ethyl-3-methylimidazolium ethyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EAnge,308.15,0,0.1999,101.3,1002.76,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0098,0.0998,101.3,999.31,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0099,0,101.3,994.71,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0099,0.1501,101.3,1001.08,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0101,0.1999,101.3,1002.82,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0299,0.1999,101.3,1004.27,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.03,0,101.3,995.89,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.03,0.1501,101.3,1002.13,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0301,0.0998,101.3,1000.42,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.05,0,101.3,997.03,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0501,0.1501,101.3,1003.12,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0501,0.1999,101.3,1005.21,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0502,0.0998,101.3,1001.49,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0698,0.1999,101.3,1006.09,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0699,0,101.3,998.12,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0699,0.1501,101.3,1004.07,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.07,0.0998,101.3,1002.51,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0898,0.0998,101.3,1003.49,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.09,0,101.3,999.17,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.09,0.1999,101.3,1006.98,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.0901,0.1501,101.3,1005.02,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.11,0,101.3,1000.21,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.1101,0.1501,101.3,1005.9,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.1102,0.0998,101.3,1004.46,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,308.15,0.1102,0.1999,101.3,1007.83,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0,0,101.3,992.76,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0,0.0998,101.3,996.58,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0,0.1501,101.3,998.62,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0,0.1999,101.3,1000.25,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0098,0.0998,101.3,997.13,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0099,0,101.3,993.34,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0099,0.1501,101.3,999.15,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0101,0.1999,101.3,1000.76,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0299,0.1999,101.3,1001.7,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.03,0,101.3,994.48,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.03,0.1501,101.3,1000.16,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0301,0.0998,101.3,998.21,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.05,0,101.3,995.57,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0501,0.1501,101.3,1001.13,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0501,0.1999,101.3,1002.62,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0502,0.0998,101.3,999.25,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0698,0.1999,101.3,1003.47,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0699,0,101.3,996.62,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0699,0.1501,101.3,1002.04,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.07,0.0998,101.3,1000.22,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0898,0.0998,101.3,1001.17,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.09,0,101.3,997.63,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.09,0.1999,101.3,1004.32,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.0901,0.1501,101.3,1002.95,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.11,0,101.3,998.6,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.1101,0.1501,101.3,1003.84,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.1102,0.0998,101.3,1002.14,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,313.15,0.1102,0.1999,101.3,1005.15,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
