setid,"Temperature, K","MolaLity of 1-ethyl-3-octyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aZEHY,303.15,0.0436,100,997.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0,100,994,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0128,100,994.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0143,100,994.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0149,100,994.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0171,100,994.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0206,100,994.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0216,100,994.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.026,100,994.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0313,100,994.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0355,100,995.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0377,100,995.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
aZEHY,308.15,0.0436,100,995.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABDgjI,CCCCCCCCn1cc[n+](CC)c1.[Br-],1-ethyl-3-octyl-1H-imidazolium bromide,,,
