setid,Weight fraction of ethanol,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IKpXi,0.3922,0.547,101,298.15,936.66,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.3958,0.4229,101,298.15,940.56,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.3975,0.3615,101,298.15,942.44,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.398,0.4816,101,298.15,937.58,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.3985,0.0574,101,298.15,948.2,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.4001,0.0804,101,298.15,947.86,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.4312,0.1103,101,298.15,938.52,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.451,0.1603,101,298.15,932.27,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.4883,0.3582,101,298.15,917.65,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.4958,0.4538,101,298.15,913.06,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.4963,0.2015,101,298.15,919.16,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.4973,0.3016,101,298.15,917.15,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.498,0.4016,101,298.15,913.77,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
