setid,"Temperature, K",Mole fraction of 1-ethylpyridinium triflate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Qxvvh,303.15,0.893,101,1393.5,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,303.15,1,101,1400.6,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,313.15,0,101,992.2,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,313.15,0.067,101,1156.9,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,313.15,0.183,101,1264,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,313.15,0.498,101,1349.4,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,313.15,0.689,101,1370.5,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,313.15,0.893,101,1385.2,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,313.15,1,101,1392.3,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,323.15,0,101,988,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,323.15,0.067,101,1149.7,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,323.15,0.183,101,1255.7,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,323.15,0.498,101,1341.1,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,323.15,0.689,101,1362.3,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,323.15,0.893,101,1377,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,323.15,1,101,1384.1,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,333.15,0,101,983.2,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,333.15,0.067,101,1142.2,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,333.15,0.183,101,1247.3,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,333.15,0.498,101,1332.8,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,333.15,0.689,101,1354,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,333.15,0.893,101,1368.8,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,333.15,1,101,1376,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,343.15,0,101,977.8,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,343.15,0.067,101,1134.4,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,343.15,0.183,101,1238.7,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,343.15,0.498,101,1324.4,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,343.15,0.689,101,1345.9,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,343.15,0.893,101,1360.7,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,343.15,1,101,1367.8,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,353.15,0,101,971.8,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,353.15,0.067,101,1126.3,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,353.15,0.183,101,1230.1,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,353.15,0.498,101,1316.1,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,353.15,0.689,101,1337.7,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,353.15,0.893,101,1352.7,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
Qxvvh,353.15,1,101,1359.8,Sanchez et al. (2015),Density,Liquid,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,AADYJk,O,water,,,
