setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eGUCp,313.15,0.601,101,1165.16,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,313.15,0.802,101,1193.4,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,318.15,0.201,101,1029.93,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,318.15,0.402,101,1116.41,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,318.15,0.601,101,1161.71,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,318.15,0.802,101,1190,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,323.15,0.201,101,1026.11,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,323.15,0.402,101,1112.64,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,323.15,0.601,101,1158.27,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,323.15,0.802,101,1186.6,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,328.15,0.201,101,1022.28,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,328.15,0.402,101,1108.8,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,328.15,0.601,101,1154.85,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,328.15,0.802,101,1183.3,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,333.15,0.201,101,1018.46,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,333.15,0.402,101,1104.96,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,333.15,0.601,101,1151.44,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
eGUCp,333.15,0.802,101,1180,Gong et al. (2012),Density,Liquid,AAGIBL,CO,methanol,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,
