setid,"Temperature, K","MolaLity of trimethylbenzylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oWvpJ,323.15,0,101,988.07,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,323.15,0.0509,101,988.839,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,323.15,0.0978,101,989.535,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,323.15,0.1457,101,990.237,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,323.15,0.193,101,990.925,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,323.15,0.243,101,991.639,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,323.15,0.2913,101,992.331,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,323.15,0.3413,101,993.04,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,323.15,0.3893,101,993.657,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,323.15,0.4887,101,995.086,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0,101,983.232,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0.0509,101,983.971,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0.0978,101,984.654,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0.1457,101,985.336,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0.193,101,986,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0.243,101,986.698,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0.2913,101,987.369,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0.3413,101,988.05,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0.3893,101,988.653,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
oWvpJ,333.15,0.4887,101,990.039,Duman and Ayranci (2009),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
