setid,"Temperature, K",Mole fraction of 1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RjdSO,298.15,0.4005,100,1372.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0.4986,100,1398.9,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0.6,100,1420.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0.6997,100,1437.8,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0.7998,100,1452.1,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,0.8818,100,1462,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,298.15,1,100,1474.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0,100,1119.3,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.05,100,1175.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.0999,100,1219.7,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.1999,100,1285.8,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.2912,100,1329,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.4005,100,1367.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.4986,100,1394,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.6,100,1415.7,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.6997,100,1433,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.7998,100,1447.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,0.8818,100,1457.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,303.15,1,100,1469.4,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0,100,1114.3,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.05,100,1170.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.0999,100,1214.7,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.1999,100,1280.8,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.2912,100,1324,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.4005,100,1362.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.4986,100,1389,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.6,100,1410.7,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.6997,100,1428,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.7998,100,1442.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,0.8818,100,1452.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,308.15,1,100,1464.4,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0,100,1109.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.05,100,1165.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.0999,100,1209.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.1999,100,1275.7,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.2912,100,1318.9,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.4005,100,1357.5,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.4986,100,1384,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.6,100,1405.7,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.6997,100,1423,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.7998,100,1437.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,0.8818,100,1447.2,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,313.15,1,100,1459.4,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0,100,1104.1,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.05,100,1160,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.0999,100,1204.5,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.1999,100,1270.7,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.2912,100,1313.9,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.4005,100,1352.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.4986,100,1379,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.6,100,1400.8,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.6997,100,1418.1,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.7998,100,1432.4,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,0.8818,100,1442.4,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,318.15,1,100,1454.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,323.15,0,100,1098.9,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,323.15,0.05,100,1154.8,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,323.15,0.0999,100,1199.3,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,323.15,0.1999,100,1265.6,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,323.15,0.2912,100,1308.8,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,323.15,0.4005,100,1347.5,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
RjdSO,323.15,0.4986,100,1374,Papovic et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
