setid,"Temperature, K",Weight fraction of triethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XpLjk,323.15,0.6,101,1132.8,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,323.15,0.7999,101,1116.7,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,323.15,1,101,1102.2,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,333.15,0,101,1174.6,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,333.15,0.1998,101,1154.4,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,333.15,0.3987,101,1139.9,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,333.15,0.5005,101,1128.1,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,333.15,0.6,101,1125.9,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,333.15,0.7999,101,1110.2,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,333.15,1,101,1096,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,343.15,0,101,1167.7,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,343.15,0.1998,101,1147.4,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,343.15,0.3987,101,1132.9,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,343.15,0.5005,101,1121,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,343.15,0.6,101,1119,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,343.15,0.7999,101,1103.5,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
XpLjk,343.15,1,101,1089.6,Zhao et al. (2010a),Density,Liquid,AAcjhv,OCCN(CCO)CCO,triethanolamine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
