setid,"Mole fraction of 1,2-butanediol","Temperature, K","Pressure, kPa","Moles per mass of solution: 1-butyl-3-methylimidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IRyYi,0.4791,298.15,101,0.1,1014.7,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.5256,298.15,101,0.1,1013.3,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.5704,298.15,101,0.1,1012.1,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.613,298.15,101,0.1,1011,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.653,298.15,101,0.1,1010.1,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.6903,298.15,101,0.1,1009.4,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.7247,298.15,101,0.1,1008.7,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.7561,298.15,101,0.1,1008,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.7846,298.15,101,0.1,1007.5,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.8103,298.15,101,0.1,1007,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.8333,298.15,101,0.1,1006.6,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.8537,298.15,101,0.1,1006.2,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.8771,298.15,101,0.1,1005.6,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.8966,298.15,101,0.1,1005.3,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.9131,298.15,101,0.1,1005,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
IRyYi,0.9268,298.15,101,0.1,1004.8,Checoni (2010),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
