setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of L-serine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eAWDv,0,298.15,0.08,101.3,1000.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,298.15,0.099,101.3,1001.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,298.15,0.12,101.3,1002.4,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,298.15,0.14,101.3,1003.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,303.15,0,101.3,996,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,303.15,0.02,101.3,996.9,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,303.15,0.04,101.3,997.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,303.15,0.0599,101.3,998.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,303.15,0.08,101.3,999.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,303.15,0.099,101.3,1000.4,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,303.15,0.12,101.3,1001.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,303.15,0.14,101.3,1002.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,308.15,0,101.3,994,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,308.15,0.02,101.3,994.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,308.15,0.04,101.3,995.7,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,308.15,0.0599,101.3,996.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,308.15,0.08,101.3,997.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,308.15,0.099,101.3,998.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,308.15,0.12,101.3,999.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,308.15,0.14,101.3,1000,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,313.15,0,101.3,992.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,313.15,0.02,101.3,993.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,313.15,0.04,101.3,993.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,313.15,0.0599,101.3,994.7,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,313.15,0.08,101.3,995.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,313.15,0.099,101.3,996.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,313.15,0.12,101.3,997.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0,313.15,0.14,101.3,998.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,293.15,0,101.3,999.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,293.15,0.02,101.3,1000.7,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,293.15,0.04,101.3,1001.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,293.15,0.06,101.3,1002.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,293.15,0.08,101.3,1003.4,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,293.15,0.1,101.3,1004.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,293.15,0.12,101.3,1005.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,293.15,0.14,101.3,1006,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,298.15,0,101.3,998.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,298.15,0.02,101.3,999.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,298.15,0.04,101.3,1000.4,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,298.15,0.06,101.3,1001.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,298.15,0.08,101.3,1002.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,298.15,0.1,101.3,1003,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,298.15,0.12,101.3,1003.9,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,298.15,0.14,101.3,1004.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,303.15,0,101.3,997.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,303.15,0.02,101.3,998.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,303.15,0.04,101.3,999,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,303.15,0.06,101.3,999.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,303.15,0.08,101.3,1000.7,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,303.15,0.1,101.3,1001.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,303.15,0.12,101.3,1002.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,303.15,0.14,101.3,1003.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,308.15,0,101.3,995.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,308.15,0.02,101.3,996.4,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,308.15,0.04,101.3,997.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,308.15,0.06,101.3,998.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,308.15,0.08,101.3,999,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,308.15,0.1,101.3,999.9,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,308.15,0.12,101.3,1000.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,308.15,0.14,101.3,1001.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,313.15,0,101.3,993.7,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,313.15,0.02,101.3,994.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,313.15,0.04,101.3,995.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,313.15,0.06,101.3,996.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,313.15,0.08,101.3,997.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,313.15,0.1,101.3,998,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,313.15,0.12,101.3,998.9,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.04,313.15,0.14,101.3,999.7,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,293.15,0,101.3,1001.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,293.15,0.02,101.3,1002.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,293.15,0.04,101.3,1003.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,293.15,0.06,101.3,1004,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,293.15,0.08,101.3,1004.9,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,293.15,0.0989,101.3,1005.7,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,293.15,0.12,101.3,1006.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,293.15,0.14,101.3,1007.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,298.15,0,101.3,1000.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,298.15,0.02,101.3,1001.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,298.15,0.04,101.3,1001.9,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,298.15,0.06,101.3,1002.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,298.15,0.08,101.3,1003.7,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,298.15,0.0989,101.3,1004.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,298.15,0.12,101.3,1005.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,298.15,0.14,101.3,1006.3,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,303.15,0,101.3,996.6,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,303.15,0.02,101.3,997.5,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,303.15,0.04,101.3,998.4,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,303.15,0.06,101.3,999.2,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,303.15,0.08,101.3,1000.1,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,303.15,0.0989,101.3,1000.9,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
eAWDv,0.08,303.15,0.12,101.3,1001.8,Kumar et al. (2024),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
