setid,"Temperature, K","MolaLity of 1-ethylpyridinium dicyanamide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QaTQC,293.15,0.1702,100,1001.8,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,293.15,0.2822,100,1003.88,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,293.15,0.3221,100,1004.57,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,293.15,0.3867,100,1005.72,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,293.15,0.4419,100,1006.65,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,298.15,0.0115,100,997.31,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,298.15,0.0277,100,997.69,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,298.15,0.0559,100,998.29,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,298.15,0.1192,100,999.53,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,298.15,0.1702,100,1000.47,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,298.15,0.2822,100,1002.44,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,298.15,0.3221,100,1003.1,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,298.15,0.3867,100,1004.21,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,298.15,0.4419,100,1005.09,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,303.15,0.0115,100,995.9,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,303.15,0.0277,100,996.26,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,303.15,0.0559,100,996.83,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,303.15,0.1192,100,998.02,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,303.15,0.1702,100,998.91,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,303.15,0.2822,100,1000.8,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,303.15,0.3221,100,1001.43,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,303.15,0.3867,100,1002.49,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,303.15,0.4419,100,1003.33,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,308.15,0.0115,100,994.27,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,308.15,0.0277,100,994.62,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,308.15,0.0559,100,995.17,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,308.15,0.1192,100,996.3,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,308.15,0.1702,100,997.15,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,308.15,0.2822,100,998.97,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,308.15,0.3221,100,999.57,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,308.15,0.3867,100,1000.58,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,308.15,0.4419,100,1001.4,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,313.15,0.0115,100,992.45,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,313.15,0.0277,100,992.78,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,313.15,0.0559,100,993.3,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,313.15,0.1192,100,994.39,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,313.15,0.1702,100,995.2,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,313.15,0.2822,100,996.95,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,313.15,0.3221,100,997.53,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,313.15,0.3867,100,998.51,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,313.15,0.4419,100,999.29,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,318.15,0.0115,100,990.43,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,318.15,0.0277,100,990.74,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,318.15,0.0559,100,991.23,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,318.15,0.1192,100,992.3,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,318.15,0.1702,100,993.08,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,318.15,0.2822,100,994.77,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,318.15,0.3221,100,995.33,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,318.15,0.3867,100,996.27,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
QaTQC,318.15,0.4419,100,997.02,Xing et al. (2016b),Density,Liquid,AADYJk,O,water,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
