setid,"Temperature, K",Mole fraction of trimethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VkzZM,298.15,0.9231,101,1056.3,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,0.961,101,1055,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,298.15,1,101,1053.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0,101,1092.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.0159,101,1092.1,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.0656,101,1090.6,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.1182,101,1088.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.1693,101,1086.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.2333,101,1084,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.2857,101,1081.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.3408,101,1078.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.3877,101,1076.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.4358,101,1074,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.5129,101,1070.2,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.5506,101,1068.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.5959,101,1066.2,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.6852,101,1062,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.7487,101,1059.2,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.8156,101,1056.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.8651,101,1054.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.9231,101,1052.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,0.961,101,1051.1,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,303.15,1,101,1049.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0,101,1086.1,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.0159,101,1085.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.0656,101,1084.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.1182,101,1083.3,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.1693,101,1081.2,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.2333,101,1078.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.2857,101,1076.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.3408,101,1074,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.3877,101,1071.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.4358,101,1069.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.5129,101,1065.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.5506,101,1063.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.5959,101,1061.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.6852,101,1057.6,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.7487,101,1054.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.8156,101,1052.2,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.8651,101,1050.2,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.9231,101,1048.3,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,0.961,101,1047,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,308.15,1,101,1045.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0,101,1081.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.0159,101,1081.3,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.0656,101,1080.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.1182,101,1079.2,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.1693,101,1077.1,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.2333,101,1075,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.2857,101,1072.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.3408,101,1070.1,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.3877,101,1068,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.4358,101,1065.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.5129,101,1061.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.5506,101,1060,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.5959,101,1057.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.6852,101,1053.6,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.7487,101,1050.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.8156,101,1048.1,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.8651,101,1046,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.9231,101,1044.1,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,0.961,101,1042.9,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
VkzZM,313.15,1,101,1041.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAWvYN,CC(=O)[O-].C[NH+](C)C,trimethylammonium acetate,,,
