setid,"Temperature, K",Mole fraction of 1-butyl-3-methyl-1H-imidazolium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mjkBq,318.15,0.4,101,1051.36,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,318.15,0.601,101,1097.79,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,318.15,0.799,101,1128.09,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,323.15,0.2,101,963.95,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,323.15,0.4,101,1047.85,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,323.15,0.601,101,1094.39,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,323.15,0.799,101,1124.77,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,328.15,0.2,101,960.23,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,328.15,0.4,101,1044.32,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,328.15,0.601,101,1090.98,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,328.15,0.799,101,1121.45,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,333.15,0.2,101,956.5,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,333.15,0.4,101,1040.8,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,333.15,0.601,101,1087.58,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
mjkBq,333.15,0.799,101,1118.15,Gong et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
