setid,Solvent: Mole fraction of acetonitrile,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XUhzX,0.1,0.02562,303.15,101,980,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.02562,313.15,101,974.8,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.03077,293.15,101,984.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.03077,303.15,101,980.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.03077,313.15,101,975.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.03594,293.15,101,985,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.03594,303.15,101,980.4,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.03594,313.15,101,975.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.04111,293.15,101,985.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.04111,303.15,101,980.8,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.04111,313.15,101,975.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.0463,293.15,101,985.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.0463,303.15,101,980.9,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.0463,313.15,101,975.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.05143,293.15,101,985.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.05143,303.15,101,981.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.1,0.05143,313.15,101,976,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.00831,293.15,101,964.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.00831,303.15,101,958.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.00831,313.15,101,952.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.01558,293.15,101,965.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.01558,303.15,101,959,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.01558,313.15,101,952.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.02077,293.15,101,965.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.02077,303.15,101,959.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.02077,313.15,101,952.8,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.02595,293.15,101,965.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.02595,303.15,101,959.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.02595,313.15,101,953,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.03113,293.15,101,965.9,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.03113,303.15,101,959.9,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.03113,313.15,101,953.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.03631,293.15,101,966.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.03631,303.15,101,960.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.03631,313.15,101,953.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.04149,293.15,101,966.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.04149,303.15,101,960.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.04149,313.15,101,953.8,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.04666,293.15,101,966.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.04666,303.15,101,960.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.04666,313.15,101,954.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.05183,293.15,101,966.9,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.05183,303.15,101,960.8,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.2,0.05183,313.15,101,954.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.0091,293.15,101,919.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.0091,303.15,101,911.8,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.0091,313.15,101,903.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.01705,293.15,101,920.1,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.01705,303.15,101,912.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.01705,313.15,101,904.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.02273,293.15,101,920.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.02273,303.15,101,912.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.02273,313.15,101,904.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.0284,293.15,101,920.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.0284,303.15,101,912.9,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.0284,313.15,101,904.8,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.03407,293.15,101,921,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.03407,303.15,101,913.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.03407,313.15,101,905.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.03972,293.15,101,921.4,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.03972,303.15,101,913.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.03972,313.15,101,905.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.04538,293.15,101,921.7,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.04538,303.15,101,914,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.04538,313.15,101,905.9,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.05104,293.15,101,922,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.05104,303.15,101,914.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.05104,313.15,101,906.2,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.0575,293.15,101,922.3,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.0575,303.15,101,914.6,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
XUhzX,0.4,0.0575,313.15,101,906.5,Nandi and Ramjugernath (2014),Density,Liquid,AAHueB,CC#N,acetonitrile,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
