setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KqbCs,100,288.15,0.891,1377,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,288.15,1,1377,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0,1391,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.05,1392,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.1,1390,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.202,1385,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.296,1382,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.366,1380,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.48,1377,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.599,1376,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.696,1374,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.798,1373,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,0.891,1373,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,293.15,1,1372,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0,1374,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.05,1376,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.1,1375,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.202,1372,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.296,1370,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.366,1368,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.48,1367,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.599,1366,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.696,1365,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.798,1364,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,0.891,1364,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,303.15,1,1363,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0,1356,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.05,1360,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.1,1361,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.202,1359,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.296,1358,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.366,1357,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.48,1357,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.599,1356,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.696,1356,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.798,1355,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,0.891,1355,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,313.15,1,1355,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0,1338,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.05,1344,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.1,1346,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.202,1346,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.296,1347,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.366,1347,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.48,1347,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.599,1347,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.696,1347,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.798,1347,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,0.891,1347,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,323.15,1,1347,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0,1319,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.05,1328,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.1,1331,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.202,1334,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.296,1335,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.366,1336,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.48,1336,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.599,1337,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.696,1338,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.798,1338,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,0.891,1338,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,100,333.15,1,1338,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0,1401,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.05,1401,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.1,1398,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.202,1393,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.296,1389,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.366,1386,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.48,1383,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.599,1381,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.696,1380,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.798,1380,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,0.891,1378,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,288.15,1,1377,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0,1393,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.05,1393,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.1,1391,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.202,1386,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.296,1383,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.366,1380,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.48,1378,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.599,1376,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.696,1375,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.798,1374,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,0.891,1373,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,293.15,1,1373,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,303.15,0,1375,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
KqbCs,1000,303.15,0.05,1377,Curras et al. (2017),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
