setid,"Temperature, K","Solvent: MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DSjUF,293.15,0.08,0.1998,101,1007.5,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.04,0,101,999.7,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.04,0.0192,101,1000.2,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.04,0.03948,101,1000.8,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.04,0.0602,101,1001.4,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.04,0.0994,101,1002.5,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.04,0.1593,101,1004.3,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.04,0.1796,101,1004.9,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.04,0.2,101,1005.5,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0,101,999.4,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.02019,101,999.9,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.04009,101,1000.5,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.0595,101,1001,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.0801,101,1001.6,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.0997,101,1002.2,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.1196,101,1002.7,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.1395,101,1003.3,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.1591,101,1003.9,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.1785,101,1004.4,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,298.15,0.08,0.1998,101,1005.1,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.04,0,101,996.9,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.04,0.0192,101,997.4,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.04,0.03948,101,998,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.04,0.0602,101,998.5,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.04,0.0994,101,999.6,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.04,0.1193,101,1000.2,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.04,0.1593,101,1001.4,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.04,0.1796,101,1002,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.04,0.2,101,1002.5,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0,101,996.6,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.02019,101,997.1,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.04009,101,997.6,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.0595,101,998.2,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.0801,101,998.8,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.0997,101,999.3,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.1196,101,999.9,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.1395,101,1000.5,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.1591,101,1001,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.1785,101,1001.6,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,303.15,0.08,0.1998,101,1002.2,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.04,0,101,993.6,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.04,0.0192,101,994.1,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.04,0.03948,101,994.7,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.04,0.0602,101,995.3,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.04,0.0994,101,996.4,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.04,0.1193,101,996.9,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.04,0.1593,101,998.1,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.04,0.1796,101,998.7,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.04,0.2,101,999.3,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0,101,993.3,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.02019,101,993.8,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.04009,101,994.4,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.0595,101,994.9,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.0801,101,995.5,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.0997,101,996,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.1196,101,996.6,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.1395,101,997.2,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.1591,101,997.7,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.1785,101,998.3,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
DSjUF,308.15,0.08,0.1998,101,998.9,Yan et al. (2019),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
