setid,Mole fraction of 1-allyl-3-methylimidazolium thiocyanate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mUeAz,0.5951,303.15,101,1115.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.5951,308.15,101,1112.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.5951,313.15,101,1108.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.5951,318.15,101,1105.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.5951,323.15,101,1101.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.7134,293.15,101,1140.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.7134,298.15,101,1137.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.7134,303.15,101,1133.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.7134,308.15,101,1130.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.7134,313.15,101,1127.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.7134,318.15,101,1123.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.7134,323.15,101,1120.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.9028,293.15,101,1161.5,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.9028,298.15,101,1158.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.9028,303.15,101,1154.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.9028,308.15,101,1151.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.9028,313.15,101,1148.5,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.9028,318.15,101,1145.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,0.9028,323.15,101,1142.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,1,293.15,101,1170.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,1,298.15,101,1167,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,1,303.15,101,1163.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,1,308.15,101,1160.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,1,313.15,101,1157.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,1,318.15,101,1154.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
mUeAz,1,323.15,101,1151,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAiskl,C=CC[n+]1ccn(C)c1.N#C[S-],1-allyl-3-methylimidazolium thiocyanate,,,
