setid,Mole fraction of 2-aminoethan-1-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mXVTO,0.333,333.1,100,1053,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.333,343.1,100,1046,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.5,293.3,100,1066,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.5,298.2,100,1063,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.5,303.2,100,1061,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.5,313.2,100,1055,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.5,323.2,100,1048,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.5,333.1,100,1043,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.5,343.1,100,1036,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.667,293.3,100,1054,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.667,298.2,100,1052,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.667,303.2,100,1049,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.667,313.2,100,1041,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.667,323.2,100,1036,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.667,333.1,100,1028,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.667,343.1,100,1022,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.8,293.2,100,1044,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.8,298.2,100,1042,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.8,303.2,100,1038,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.8,313.2,100,1032,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.8,323.2,100,1025,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.8,333.1,100,1017,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
mXVTO,0.8,343.1,100,1010,Cao et al. (2015),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
