setid,Mole fraction of tetrapropylammonium bromide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FCvqN,0.1,343.2,100,1054.2,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.1,348.2,100,1050.2,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,293.2,100,1103,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,298.2,100,1099.2,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,303.2,100,1095.4,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,308.2,100,1091.6,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,313.2,100,1087.7,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,318.2,100,1083.9,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,323.2,100,1080,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,328.2,100,1076.1,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,333.2,100,1072.2,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,338.2,100,1068.3,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,343.2,100,1064.4,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
FCvqN,0.135,348.2,100,1060.5,Vilas-Boas et al. (2020),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water,,,
