setid,"MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Solvent: MolaLity of lithium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xmsYn,0.0495,0.5408,101,298.15,1067.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0525,0.8185,101,298.15,1085.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0571,0.2688,101,298.15,1048.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.058,0.5408,101,298.15,1067,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0648,0.8185,101,298.15,1085.3,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0687,0.2688,101,298.15,1048.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0778,0.8185,101,298.15,1085.1,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0814,0.5408,101,298.15,1066.8,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0829,0.2688,101,298.15,1048.5,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0915,0.8185,101,298.15,1084.9,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0932,0.5408,101,298.15,1066.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.0942,0.2688,101,298.15,1048.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.1024,0.5408,101,298.15,1066.6,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.1036,0.2688,101,298.15,1048.4,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
xmsYn,0.1085,0.8185,101,298.15,1084.7,Shekaari et al. (2019c),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AAQklV,[Br-].[Li+],lithium bromide,AATDtI,CN1CCCC1=O,N-methylpyrrolidone
