setid,"Temperature, K",Mole fraction of glycerol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dPboj,303.15,0.956,100,1256,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.979,100,1255,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.987,100,1252,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,303.15,0.998,100,1255,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.202,100,1270,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.3,100,1267,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.399,100,1264,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.5,100,1262,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.6,100,1259,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.7,100,1256,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.8,100,1255,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.9,100,1251,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.956,100,1250,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.979,100,1248,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.987,100,1245,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
dPboj,313.15,0.998,100,1248,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AArFGw,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoroacetate,,,
