setid,"Temperature, K","MolaLity of L-leucine, mol/kg","Solvent: MolaLity of 1-ethyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZWlsv,308.15,0.0251,0.001,100,994.7,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0251,0.003,100,994.7,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0251,0.005,100,995,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0403,0.001,100,995,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0403,0.003,100,995.1,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0403,0.005,100,995.4,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0554,0.001,100,995.4,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0554,0.003,100,995.5,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0554,0.005,100,995.7,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0707,0.001,100,995.8,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0707,0.003,100,995.8,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0707,0.005,100,996.1,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0859,0.001,100,996.2,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0859,0.003,100,996.2,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
ZWlsv,308.15,0.0859,0.005,100,996.5,Mallick et al. (2023),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water
