setid,"Temperature, K",Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of rubidium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gmjKV,298.15,0.0945,0,101,1004.61,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.0945,0.03,101,1027.12,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.0945,0.06,101,1050.52,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.1063,0,101,1005.64,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.1063,0.03,101,1028.14,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.1065,0.06,101,1051.51,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.1182,0,101,1006.72,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.1182,0.03,101,1029.32,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.1183,0.06,101,1052.73,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.1285,0.3576,101,1357.5,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.217,0.2874,101,1285.1,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.3168,0.207,101,1215.3,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.4432,0.1137,101,1151.38,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.5634,0.0599,101,1103.34,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.6894,0.0154,101,1080.76,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,298.15,0.8001,0.0043,101,1079.2,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,308.15,0.0478,0.4494,101,1454.6,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,308.15,0.1183,0.3826,101,1376.4,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,308.15,0.1935,0.3119,101,1312.39,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,308.15,0.3093,0.2235,101,1229.8,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,308.15,0.4408,0.1275,101,1156.52,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,308.15,0.5659,0.0705,101,1102.5,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,308.15,0.6951,0.0174,101,1076.64,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gmjKV,308.15,0.7758,0.0076,101,1073.21,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
