setid,"MolaLity of lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide, mol/kg","MolaLity of lithium trifluoromethanesulfonate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
olRxT,19,5,303,101,1744,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,19,5,313,101,1732,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,19,5,323,101,1720,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,19,5,333,101,1709,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,20,0,283,101,1754,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,20,0,293,101,1741,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,20,0,298.1,101,1734,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,20,0,303,101,1728,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,20,0,313,101,1715,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,20,0,323,101,1703,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
olRxT,20,0,333,101,1692,Becker et al. (2019),Density,Liquid,ABMqGF,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F.[Li+],lithium (pentafluoroethanesulfonyl)(trifluoromethanesulfonyl)imide,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water
