setid,"Temperature, K","MolaLity of sodium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PGntF,298.15,0.06296,100,6.12,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,298.15,0.07919,100,7.68,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,298.15,0.09592,100,9.29,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,298.15,0.1116,100,10.8,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,298.15,0.1285,100,12.42,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,298.15,0.1447,100,13.96,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,298.15,0.1805,100,17.36,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.01712,100,1.63,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.03622,100,3.44,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.05601,100,5.32,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.07542,100,7.15,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.09192,100,8.7,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.1111,100,10.5,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.1277,100,12.04,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.1324,100,12.48,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.1718,100,16.15,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,313.15,0.1805,100,16.96,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.01746,100,1.64,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.03565,100,3.33,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.05307,100,4.95,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.07136,100,6.65,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.08936,100,8.31,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.1073,100,9.96,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.1244,100,11.52,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.1417,100,13.1,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.161,100,14.86,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
PGntF,328.15,0.1805,100,16.62,Erickson et al. (2007),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
