setid,"Temperature, K",Mole fraction of acetone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oAjAx,288.15,0.9472,101.3,933.8,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,288.15,1,101.3,795.7,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0,101.3,1376.5,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.0517,101.3,1370.9,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.1039,101.3,1364.2,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.1657,101.3,1356,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.2655,101.3,1340.4,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.3641,101.3,1320.9,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.4927,101.3,1288.5,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.5924,101.3,1253.8,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.6842,101.3,1211.1,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.8083,101.3,1122.2,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.8954,101.3,1019.8,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,0.9472,101.3,928.3,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,293.15,1,101.3,790,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0,101.3,1371.9,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.0517,101.3,1366.2,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.1039,101.3,1359.6,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.1657,101.3,1351.4,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.2655,101.3,1335.7,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.3641,101.3,1316.2,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.4927,101.3,1283.7,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.5924,101.3,1248.9,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.6842,101.3,1206.2,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.8083,101.3,1117,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.8954,101.3,1014.5,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,0.9472,101.3,922.9,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
oAjAx,298.15,1,101.3,784.3,Gonzalez et al. (2012a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
