setid,"Temperature, K","Mole fraction of 1,1-dimethyl-4-phenylpiperazinium iodide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mCfiP,308.15,0.3358,101,957.1,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,308.15,0.4765,101,971.3,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,308.15,0.6799,101,985.1,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,308.15,1,101,999.1,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,313.15,0,101,876.1,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,313.15,0.0415,101,891.2,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,313.15,0.0918,101,906.3,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,313.15,0.154,101,921.7,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,313.15,0.2328,101,937.4,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,313.15,0.3358,101,952.3,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,313.15,0.4765,101,966.8,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,313.15,0.6799,101,981,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,313.15,1,101,995.4,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,318.15,0,101,870.2,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,318.15,0.0415,101,885.5,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,318.15,0.0918,101,900.8,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,318.15,0.154,101,916.6,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,318.15,0.2328,101,932.5,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,318.15,0.3358,101,947.6,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,318.15,0.4765,101,962.3,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,318.15,0.6799,101,976.9,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
mCfiP,318.15,1,101,991.6,Rodriguez et al. (2010a),Density,Liquid,ABJKhj,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],"1,1-dimethyl-4-phenylpiperazinium iodide",AAQxSq,CCOC(C)=O,ethyl acetate,,,
