setid,"Temperature, K","MolaLity of N-benzyl-N,N-dimethyldecan-1-aminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RWfXd,288.15,0.2596,101.325,1007.88,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.2824,101.325,1008.59,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.3866,101.325,1011.69,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,288.15,0.5127,101.325,1015.17,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.007,101.325,997.318,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0104,101.325,997.454,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0148,101.325,997.626,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0151,101.325,997.643,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0205,101.325,997.85,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0206,101.325,997.855,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0224,101.325,997.927,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0277,101.325,998.131,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0304,101.325,998.2,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0355,101.325,998.37,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0405,101.325,998.538,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0447,101.325,998.68,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.052,101.325,998.926,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0538,101.325,998.986,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0563,101.325,999.07,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0648,101.325,999.34,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.071,101.325,999.53,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.0955,101.325,1000.32,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.2066,101.325,1003.73,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
RWfXd,298.15,0.5953,101.325,1014.05,Gonzalez-Perez et al. (2003),Density,Liquid,AADYJk,O,water,ABQbdA,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],"N-benzyl-N,N-dimethyldecan-1-aminium bromide",,,
