setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium L-lactate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bXITv,298.15,1,101,1111.2,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0,101,776.9,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0.0998,101,956.6,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0.1968,101,1019.4,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0.3,101,1057.4,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0.3999,101,1070.5,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0.5,101,1077.4,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0.5996,101,1084.2,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0.7001,101,1085.4,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0.8002,101,1087.2,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,0.8988,101,1089,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,308.15,1,101,1104.2,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0,101,767.2,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0.0998,101,953.2,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0.1968,101,1014.3,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0.3,101,1051.9,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0.3999,101,1066.8,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0.5,101,1074.7,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0.5996,101,1077.7,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0.7001,101,1078,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0.8002,101,1078.9,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,0.8988,101,1079.9,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
bXITv,318.15,1,101,1097.7,Jiang et al. (2013),Density,Liquid,AAGIBL,CO,methanol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
