setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,Mole fraction of acetic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JePZu,298.15,0.3492,0.6287,100,1170.7,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.356,0.2933,100,1134.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.398,0.1998,100,1138,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.4538,0.0964,100,1144.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.4835,0.3567,100,1179.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.4887,0.4803,100,1193.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.5604,0.2535,100,1186.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.6002,0.3617,100,1205.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.6545,0.1295,100,1194.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.7078,0.0525,100,1198.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.7287,0.2257,100,1216.3,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.8075,0.1402,100,1221.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,298.15,0.8825,0.0606,100,1225.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.068,0.5284,100,1005,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.1009,0.2975,100,985.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.1038,0.7936,100,1086.3,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.1126,0.2205,100,979.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.129,0.1085,100,972,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.1672,0.3906,100,1053.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.2108,0.7759,100,1140.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.2126,0.2277,100,1053.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.2309,0.5332,100,1111.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.2325,0.1539,100,1053.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.3114,0.3618,100,1122,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.345,0.5414,100,1156.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.3492,0.6287,100,1166.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.356,0.2933,100,1130.3,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.398,0.1998,100,1134.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.4538,0.0964,100,1140.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.4835,0.3567,100,1175.7,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.4887,0.4803,100,1189.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.5604,0.2535,100,1182.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.6002,0.3617,100,1201.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.6545,0.1295,100,1191,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.7078,0.0525,100,1195.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.7287,0.2257,100,1212.7,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.8075,0.1402,100,1218,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,303.15,0.8825,0.0606,100,1222.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.068,0.5284,100,1000.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.1009,0.2975,100,980.5,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.1038,0.7936,100,1081.7,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.1126,0.2205,100,975.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.129,0.1085,100,967.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.1672,0.3906,100,1048.7,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.2108,0.7759,100,1136,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.2126,0.2277,100,1049.2,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.2309,0.5332,100,1107.1,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.2325,0.1539,100,1049.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.3114,0.3618,100,1118,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.345,0.5414,100,1152.6,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.3492,0.6287,100,1162.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.356,0.2933,100,1126.4,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.398,0.1998,100,1130.3,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.4538,0.0964,100,1136.8,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.4835,0.3567,100,1172,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
JePZu,308.15,0.4887,0.4803,100,1185.9,Singh et al. (2017a),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAHueB,CC#N,acetonitrile,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
