setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SORkI,318.15,0.8003,101,1489,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,0.8993,101,1509.4,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,1,101,1527.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0,101,1019.2,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0.1007,101,1154.9,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0.1989,101,1243.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0.2995,101,1310.1,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0.4026,101,1361.4,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0.5001,101,1399.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0.5999,101,1431.7,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0.7039,101,1460.9,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0.8003,101,1483.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,0.8993,101,1504,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,323.15,1,101,1522.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0,101,1015.7,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0.1007,101,1150.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0.1989,101,1239.1,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0.2995,101,1305.1,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0.4026,101,1356,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0.5001,101,1394.2,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0.5999,101,1426.3,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0.7039,101,1455.4,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0.8003,101,1478,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,0.8993,101,1498.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,328.15,1,101,1517.1,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
