setid,"Temperature, K",Mole fraction of N-ethyl-N-methylmorpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uckUX,313.15,0.16,101,1246,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,313.15,0.192,101,1269.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,313.15,0.22,101,1285.9,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,313.15,0.252,101,1301.9,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,318.15,0.023,101,1053.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,318.15,0.045,101,1102.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,318.15,0.07,101,1145.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,318.15,0.1,101,1186.1,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,318.15,0.128,101,1215.4,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,318.15,0.16,101,1243,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,318.15,0.192,101,1266.1,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,318.15,0.22,101,1282.8,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,318.15,0.252,101,1298.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,323.15,0.023,101,1051.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,323.15,0.045,101,1099.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,323.15,0.07,101,1142.8,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,323.15,0.1,101,1183.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,323.15,0.128,101,1212.4,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,323.15,0.16,101,1239.9,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,323.15,0.192,101,1263,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,323.15,0.22,101,1279.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,323.15,0.252,101,1295.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,328.15,0.023,101,1049.5,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,328.15,0.045,101,1097.1,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,328.15,0.07,101,1139.8,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,328.15,0.1,101,1180.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,328.15,0.128,101,1209.4,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,328.15,0.16,101,1236.8,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,328.15,0.192,101,1259.9,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,328.15,0.22,101,1276.5,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,328.15,0.252,101,1292.4,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,333.15,0.023,101,1047.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,333.15,0.045,101,1094.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,333.15,0.07,101,1137.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,333.15,0.1,101,1177.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,333.15,0.128,101,1206.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,333.15,0.16,101,1233.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,333.15,0.192,101,1256.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,333.15,0.22,101,1273.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,333.15,0.252,101,1289.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,338.15,0.023,101,1045.1,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,338.15,0.045,101,1092.1,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,338.15,0.07,101,1134.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,338.15,0.1,101,1174.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,338.15,0.128,101,1203.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,338.15,0.16,101,1230.5,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,338.15,0.192,101,1253.5,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,338.15,0.22,101,1270.1,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,338.15,0.252,101,1286,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,343.15,0.023,101,1042.8,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,343.15,0.045,101,1089.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,343.15,0.07,101,1131.9,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,343.15,0.1,101,1171.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,343.15,0.128,101,1200,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,343.15,0.16,101,1227.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,343.15,0.192,101,1250.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,343.15,0.22,101,1266.9,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,343.15,0.252,101,1282.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,348.15,0.023,101,1040.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,348.15,0.045,101,1087.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,348.15,0.07,101,1129.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,348.15,0.1,101,1168.8,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,348.15,0.128,101,1196.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,348.15,0.16,101,1224.1,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,348.15,0.192,101,1247.1,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,348.15,0.22,101,1263.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,348.15,0.252,101,1279.5,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
