setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrabutylammonium acetate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aVJWj,293.15,0.03,100,0.01,999.246,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0,100,0.01,997.389,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.003,100,0.01,997.48,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.006,100,0.01,997.561,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.009,100,0.01,997.642,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.012,100,0.01,997.726,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.015,100,0.01,997.81,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.018,100,0.01,997.896,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.021,100,0.01,997.983,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.024,100,0.01,998.072,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.027,100,0.01,998.151,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,298.15,0.03,100,0.01,998.248,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0,100,0.01,995.998,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.003,100,0.01,996.093,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.006,100,0.01,996.159,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.009,100,0.01,996.223,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.012,100,0.01,996.295,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.015,100,0.01,996.343,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.018,100,0.01,996.372,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.021,100,0.01,996.427,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.024,100,0.01,996.46,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.027,100,0.01,996.503,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,303.15,0.03,100,0.01,996.563,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0,100,0.01,994.315,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.003,100,0.01,994.446,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.006,100,0.01,994.486,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.009,100,0.01,994.533,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.012,100,0.01,994.579,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.015,100,0.01,994.621,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.018,100,0.01,994.662,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.021,100,0.01,994.702,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.024,100,0.01,994.742,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.027,100,0.01,994.789,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,308.15,0.03,100,0.01,994.831,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0,100,0.01,992.463,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.003,100,0.01,992.58,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.006,100,0.01,992.641,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.009,100,0.01,992.69,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.012,100,0.01,992.743,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.015,100,0.01,992.788,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.018,100,0.01,992.821,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.021,100,0.01,992.859,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.024,100,0.01,992.891,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.027,100,0.01,992.935,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,313.15,0.03,100,0.01,992.963,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0,100,0.01,990.432,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.003,100,0.01,990.569,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.006,100,0.01,990.619,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.009,100,0.01,990.663,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.012,100,0.01,990.714,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.015,100,0.01,990.753,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.018,100,0.01,990.788,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.021,100,0.01,990.825,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.024,100,0.01,990.855,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.027,100,0.01,990.893,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
aVJWj,318.15,0.03,100,0.01,990.922,Kaur and Chauhan (2020),Density,Liquid,ABFzOJ,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
