setid,"Temperature, K",Mole fraction of 1-butyl-3-methyl-1H-imidazolium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZuEWl,318.15,0.399,101,1145.53,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,318.15,0.602,101,1149.02,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,318.15,0.799,101,1149.2,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,323.15,0.201,101,1126.55,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,323.15,0.399,101,1142.04,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,323.15,0.602,101,1145.67,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,323.15,0.799,101,1145.9,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,328.15,0.201,101,1122.77,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,328.15,0.399,101,1138.54,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,328.15,0.602,101,1142.31,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,328.15,0.799,101,1142.61,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,333.15,0.201,101,1118.91,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,333.15,0.399,101,1135.05,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,333.15,0.602,101,1138.95,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,333.15,0.799,101,1139.32,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
