setid,"Temperature, K","Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of octan-1-ol, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aQTgJ,303.15,0.05,0.017,101,997.192,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.05,0.024,101,996.999,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.05,0.027,101,996.912,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.05,0.035,101,996.702,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.05,0.038,101,996.622,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.01,0,101,997.734,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.01,0.008,101,997.495,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.01,0.01,101,997.444,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.01,0.012,101,997.384,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.01,0.021,101,997.12,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.01,0.023,101,997.059,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.01,0.026,101,996.984,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.01,0.033,101,996.773,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.05,0,101,995.942,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.05,0.007,101,995.745,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.05,0.01,101,995.658,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.05,0.012,101,995.596,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.05,0.017,101,995.464,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.05,0.024,101,995.263,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.05,0.027,101,995.173,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.05,0.035,101,994.955,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,308.15,0.05,0.038,101,994.872,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
