setid,"MolaLity of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SoFqo,0.0199,303.15,101.3,1108.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0199,308.15,101.3,1104.6,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0199,313.15,101.3,1101.1,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0199,318.15,101.3,1097.5,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0199,323.15,101.3,1093.9,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0199,328.15,101.3,1090.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0296,293.15,101.3,1116.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0296,298.15,101.3,1112.8,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0296,303.15,101.3,1109.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0296,308.15,101.3,1105.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0296,313.15,101.3,1102.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0296,318.15,101.3,1098.6,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0296,323.15,101.3,1095,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0296,328.15,101.3,1091.4,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0397,293.15,101.3,1117.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0397,298.15,101.3,1113.8,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0397,303.15,101.3,1110.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0397,308.15,101.3,1106.8,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0397,313.15,101.3,1103.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0397,318.15,101.3,1099.6,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0397,323.15,101.3,1096,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0397,328.15,101.3,1092.4,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0496,293.15,101.3,1118.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0496,298.15,101.3,1114.8,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0496,303.15,101.3,1111.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0496,308.15,101.3,1107.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0496,313.15,101.3,1104.1,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0496,318.15,101.3,1100.5,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0496,323.15,101.3,1096.9,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0496,328.15,101.3,1093.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0797,293.15,101.3,1121.4,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0797,298.15,101.3,1117.8,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0797,303.15,101.3,1114.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0797,308.15,101.3,1110.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0797,313.15,101.3,1107.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0797,318.15,101.3,1103.5,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0797,323.15,101.3,1099.9,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0797,328.15,101.3,1096.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1198,293.15,101.3,1125.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1198,298.15,101.3,1121.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1198,303.15,101.3,1118.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1198,308.15,101.3,1114.6,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1198,313.15,101.3,1111,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1198,318.15,101.3,1107.4,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1198,323.15,101.3,1103.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1198,328.15,101.3,1100,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1999,293.15,101.3,1132.5,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1999,298.15,101.3,1128.9,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1999,303.15,101.3,1125.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1999,308.15,101.3,1121.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1999,313.15,101.3,1118,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1999,318.15,101.3,1114.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1999,323.15,101.3,1110.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.1999,328.15,101.3,1107,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2499,293.15,101.3,1137,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2499,298.15,101.3,1133.4,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2499,303.15,101.3,1129.8,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2499,308.15,101.3,1126.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2499,313.15,101.3,1122.5,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2499,318.15,101.3,1118.8,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2499,323.15,101.3,1115.1,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2499,328.15,101.3,1111.4,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2995,293.15,101.3,1141.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2995,298.15,101.3,1138.1,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2995,303.15,101.3,1134.4,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2995,308.15,101.3,1130.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2995,313.15,101.3,1127,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2995,318.15,101.3,1123.3,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2995,323.15,101.3,1119.6,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.2995,328.15,101.3,1115.8,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.3494,293.15,101.3,1145.9,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.3494,298.15,101.3,1142.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.3494,303.15,101.3,1138.6,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
