setid,"MolaLity of L-glutamic acid, mol/kg","Solvent: MolaLity of 1-heptyl-3-methylimidazolium tetrafluoroborate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FXZDg,0.0602,0.01,308.15,100,997.88,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0605,0.03,288.15,100,1004.1,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0605,0.03,298.15,100,1001.91,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0605,0.03,308.15,100,998.75,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0794,0.01,288.15,100,1004.3,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0794,0.01,298.15,100,1002.13,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0794,0.01,308.15,100,998.99,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0795,0.05,288.15,100,1006.2,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0795,0.05,298.15,100,1003.99,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0795,0.05,308.15,100,1000.82,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0797,0.03,288.15,100,1005.33,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0797,0.03,298.15,100,1003.13,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0797,0.03,308.15,100,999.94,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
