setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YOMVs,308.15,0.6,101,1155.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,0.6982,101,1185,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,0.8007,101,1211.6,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,0.902,101,1234.4,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,1,101,1254.4,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0,101,787.7,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0.1002,101,888.9,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0.201,101,965.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0.3005,101,1025.8,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0.4004,101,1075.6,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0.4998,101,1116.7,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0.6,101,1152,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0.6982,101,1181.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0.8007,101,1208.2,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,0.902,101,1230.9,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,313.15,1,101,1251,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0,101,783.6,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0.1002,101,885,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0.201,101,961.7,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0.3005,101,1022.1,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0.4004,101,1072,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0.4998,101,1113.2,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0.6,101,1148.4,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0.6982,101,1178,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0.8007,101,1204.7,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,0.902,101,1227.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,318.15,1,101,1247.6,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0,101,779.4,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0.1002,101,881.1,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0.201,101,958,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0.3005,101,1018.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0.4004,101,1068.4,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0.4998,101,1109.6,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0.6,101,1144.9,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0.6982,101,1174.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0.8007,101,1201.2,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,0.902,101,1224,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,323.15,1,101,1244.2,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
