setid,Mole fraction of 3-hexyl-1-methylimidazolium acetate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
phJFc,0.257,308.15,96.7,1055,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.257,313.15,96.7,1051,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.257,318.15,96.7,1047,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.257,323.15,96.7,1043,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.257,328.15,96.7,1039,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.257,333.15,96.7,1035,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.257,338.15,96.7,1031,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.341,303.15,96.7,1053,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.341,308.15,96.7,1050,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.341,313.15,96.7,1046,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.341,318.15,96.7,1042,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.341,323.15,96.7,1038,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.341,328.15,96.7,1034,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.341,333.15,96.7,1031,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.341,338.15,96.7,1027,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.446,303.15,96.7,1044,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.446,308.15,96.7,1040,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.446,313.15,96.7,1036,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.446,318.15,96.7,1032,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.446,323.15,96.7,1029,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.446,328.15,96.7,1025,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.446,333.15,96.7,1021,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.446,338.15,96.7,1018,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.58,303.15,96.7,1035,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.58,308.15,96.7,1031,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.58,313.15,96.7,1027,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.58,318.15,96.7,1024,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.58,323.15,96.7,1020,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.58,328.15,96.7,1017,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.58,333.15,96.7,1013,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.58,338.15,96.7,1010,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.757,303.15,96.7,1024,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.757,308.15,96.7,1021,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.757,313.15,96.7,1017,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.757,318.15,96.7,1014,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.757,323.15,96.7,1011,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.757,328.15,96.7,1007,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.757,333.15,96.7,1004,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.757,338.15,96.7,1001,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.868,303.15,96.7,1019,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.868,308.15,96.7,1016,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.868,313.15,96.7,1013,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.868,318.15,96.7,1010,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.868,323.15,96.7,1006,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.868,328.15,96.7,1003,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.868,333.15,96.7,1000,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.868,338.15,96.7,996,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,1,303.15,96.7,1014,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,1,308.15,96.7,1011,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,1,313.15,96.7,1008,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,1,318.15,96.7,1005,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,1,323.15,96.7,1002,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,1,328.15,96.7,999,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,1,333.15,96.7,995,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,1,338.15,96.7,992.2,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
