setid,"MolaLity of (R)-2-amino-3-mercaptopropanoic acid, mol/kg","Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mfdBo,0.19669,0,308.15,100,1003.33,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.19669,0,318.15,100,999.516,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.19737,0.03,288.15,100,1009.84,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.19737,0.03,298.15,100,1007.71,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.19737,0.03,308.15,100,1004.68,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.19737,0.03,318.15,100,1000.73,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.1977,0.01,288.15,100,1009.21,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.1977,0.01,298.15,100,1006.82,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.1977,0.01,308.15,100,1003.77,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.1977,0.01,318.15,100,999.948,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.20096,0.005,288.15,100,1008.93,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.20096,0.005,298.15,100,1006.76,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.20096,0.005,308.15,100,1003.76,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.20096,0.005,318.15,100,999.907,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.29859,0,288.15,100,1013.2,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.29859,0,298.15,100,1011.14,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.29859,0,308.15,100,1008.14,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.29859,0,318.15,100,1004.33,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.29943,0.01,288.15,100,1014,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.29943,0.01,298.15,100,1011.62,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.29943,0.01,308.15,100,1008.57,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.29943,0.01,318.15,100,1004.74,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.3002,0.05,288.15,100,1015.61,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.3002,0.05,298.15,100,1013.43,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.3002,0.05,308.15,100,1010.38,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.3002,0.05,318.15,100,1006.35,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.30044,0.005,288.15,100,1013.62,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.30044,0.005,298.15,100,1011.45,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.30044,0.005,308.15,100,1008.45,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.30044,0.005,318.15,100,1004.6,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.30194,0.03,288.15,100,1014.75,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.30194,0.03,298.15,100,1012.62,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.30194,0.03,308.15,100,1009.6,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.30194,0.03,318.15,100,1005.65,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.39702,0.005,288.15,100,1018.18,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.39702,0.005,298.15,100,1016,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.39702,0.005,308.15,100,1013.01,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.39702,0.005,318.15,100,1009.16,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.40044,0,288.15,100,1018.01,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
mfdBo,0.40044,0,298.15,100,1015.95,Kumar et al. (2021c),Density,Liquid,AAXPnN,N[C@@H](CS)C(=O)O,(R)-2-amino-3-mercaptopropanoic acid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
